	gene_short_name
YDL066W	YDL066W
YDL067C	YDL067C
YDL070W	YDL070W
YDL072C	YDL072C
YDL073W	YDL073W
YDL074C	YDL074C
YDL075W	YDL075W
YDL076C	YDL076C
YDL077C	YDL077C
YDL078C	YDL078C
YDL081C	YDL081C
YDL082W	YDL082W
YDL083C	YDL083C
YDL084W	YDL084W
YDL085C-A	YDL085C-A
YDL086W	YDL086W
YDL088C	YDL088C
YDL089W	YDL089W
YDL091C	YDL091C
YDL092W	YDL092W
YDL095W	YDL095W
YDL097C	YDL097C
YDL098C	YDL098C
YDL099W	YDL099W
YDL100C	YDL100C
YDL103C	YDL103C
YDL106C	YDL106C
YDL110C	YDL110C
YDL111C	YDL111C
YDL112W	YDL112W
YDL113C	YDL113C
YDL115C	YDL115C
YDL116W	YDL116W
YDL117W	YDL117W
YDL120W	YDL120W
YDL121C	YDL121C
YDL122W	YDL122W
YDL123W	YDL123W
YDL124W	YDL124W
YDL125C	YDL125C
YDL126C	YDL126C
YDL128W	YDL128W
YDL130W	YDL130W
YDL130W-A	YDL130W-A
YDL131W	YDL131W
YDL132W	YDL132W
YDL133C-A	YDL133C-A
YDL133W	YDL133W
YDL134C	YDL134C
YDL135C	YDL135C
YDL136W	YDL136W
YDL137W	YDL137W
YDL140C	YDL140C
YDL141W	YDL141W
YDL142C	YDL142C
YDL143W	YDL143W
YDL144C	YDL144C
YDL145C	YDL145C
YDL147W	YDL147W
YDL148C	YDL148C
YDL150W	YDL150W
YDL153C	YDL153C
YDL157C	YDL157C
YDL158C	YDL158C
YDL160C	YDL160C
YDL160C-A	YDL160C-A
YDL161W	YDL161W
YDL165W	YDL165W
YDL166C	YDL166C
YDL167C	YDL167C
YDL168W	YDL168W
YDL171C	YDL171C
YDL173W	YDL173W
YDL174C	YDL174C
YDL177C	YDL177C
YDL178W	YDL178W
YDL181W	YDL181W
YDL182W	YDL182W
YDL184C	YDL184C
YDL185W	YDL185W
YDL188C	YDL188C
YDL189W	YDL189W
YDL190C	YDL190C
YDL191W	YDL191W
YDL192W	YDL192W
YDL193W	YDL193W
YDL195W	YDL195W
YDL197C	YDL197C
YDL198C	YDL198C
YDL200C	YDL200C
YDL201W	YDL201W
YDL202W	YDL202W
YDL204W	YDL204W
YDL205C	YDL205C
YDL207W	YDL207W
YDL208W	YDL208W
YDL212W	YDL212W
YDL213C	YDL213C
