,Condition,Size_Factor,num_genes_expressed,Total_mRNAs,Cluster,peaks,halo,delta,rho,nearest_higher_density_neighbor,Pseudotime,State
BY4741_Stressed_1784042160_C50_BY75___Stressed,Stressed,0.970733486935221,2510,461125.91,2,FALSE,FALSE,0.734228425432345,4.02316233833338,NA,27.3080267139724,2
BY4741_Stressed_1784042160_C50_BY82___Stressed,Stressed,0.934861555687849,2609,444102.83,2,FALSE,FALSE,0.635339716202615,3.18645425288231,NA,27.339514398458,2
BY4741_Stressed_1784042160_C50_BY62___Stressed,Stressed,1.05276255898778,2708,500099.81,2,FALSE,FALSE,1.08547131918769,2.5676175487693,NA,27.34182834959,2
BY4741_Stressed_1784042160_C50_BY11___Stressed,Stressed,0.930678847666693,2727,442145.07,2,FALSE,FALSE,0.574868873614789,1.73378038399936,NA,27.3476060421413,2
BY4741_Stressed_1784042160_C50_BY38___Stressed,Stressed,1.07276882825455,2585,509602.92,2,FALSE,FALSE,0.486146784816203,2.69567756499012,NA,27.3895453870271,2
BY4741_Stressed_1784042160_C50_BY9___Stressed,Stressed,1.06877557354084,3012,507701.38,2,FALSE,FALSE,0.997224753940966,1.09037870051626,NA,27.4604381054269,2
BY4741_Stressed_1784042160_C50_BY29___Stressed,Stressed,1.08984699140283,2984,517741.54,2,FALSE,FALSE,0.721264650803734,1.65461709852014,NA,27.5838505689052,2
BY4741_Stressed_1784042160_C50_BY7___Stressed,Stressed,0.937356024235947,2200,445281.2,2,FALSE,FALSE,0.887794312108537,4.4943616246772,NA,27.9686451048329,3
BY4741_Stressed_1784042160_C50_BY42___Stressed,Stressed,1.08429390445778,3821,515088.85,2,FALSE,FALSE,0.0285724331948946,1.38588121092988,NA,28.1175724669666,2
BY4741_Stressed_1784042160_C50_BY44___Stressed,Stressed,1.0258812396973,3829,487324.11,2,FALSE,FALSE,2.84081662567251,1.41151835459377,NA,28.1279932784368,2
BY4741_Stressed_1784042160_C50_BY63___Stressed,Stressed,1.07343401986737,2323,509941.54,2,FALSE,FALSE,0.0491055762434235,4.94291653828496,NA,28.2503821583587,3
BY4741_Stressed_1784042160_C50_BY23___Stressed,Stressed,1.01341942214056,1611,481418.54,2,FALSE,FALSE,1.17364922469892,0.812348691520782,NA,28.4533415111087,3
BY4741_Stressed_1784042160_C50_BY39___Stressed,Stressed,1.06384136740013,2015,505373.83,2,FALSE,FALSE,0.803955074956336,2.90078502179956,NA,28.5337563412133,3
BY4741_Stressed_1784042160_C50_BY69___Stressed,Stressed,1.05394979971447,2027,500658.24,2,FALSE,FALSE,0.825251240836239,2.14643238932175,NA,28.5635019151418,3
BY4741_Stressed_1784042160_C50_BY27___Stressed,Stressed,1.0427467941339,2025,495347.68,2,FALSE,FALSE,0.264707004686195,1.86375248192691,NA,28.8157827130724,3
BY4741_Stressed_1784042160_C50_BY36___Stressed,Stressed,1.13659143746111,2538,539943.62,2,FALSE,FALSE,0.661237298674238,2.37251136261535,NA,28.8666508811767,3
BY4741_Stressed_1784042160_C50_BY35___Stressed,Stressed,0.804416638397952,1718,382106.87,2,FALSE,FALSE,0.688432790555735,2.25758702901859,NA,28.8720503118456,3
BY4741_Stressed_1784042160_C50_BY66___Stressed,Stressed,0.978719996362634,2397,464918.37,2,FALSE,FALSE,0.757160583708559,4.2633190208906,NA,28.9220521430862,3
BY4741_Stressed_1784042160_C50_BY56___Stressed,Stressed,0.947072873871407,2281,449895.34,2,FALSE,FALSE,0.495260822167321,3.56883295672671,NA,28.9245576760801,3
BY4741_Stressed_1784042160_C50_BY85___Stressed,Stressed,1.02291313788058,2436,485917.14,2,FALSE,FALSE,0.151362701041022,3.99019511869787,NA,28.956444788141,3
BY4741_Stressed_1784042160_C50_BY31___Stressed,Stressed,0.959551531722145,2281,455823.58,2,FALSE,FALSE,0.270453324819199,4.03438106034139,NA,28.9591394878988,3
BY4741_Stressed_1784042160_C50_BY17___Stressed,Stressed,0.972272268799069,2530,461849.13,2,FALSE,FALSE,0.93326229062309,4.31015009257709,NA,28.9611953673572,3
BY4741_Stressed_1784042160_C50_BY6___Stressed,Stressed,0.951503976228999,2127,452020.07,2,FALSE,FALSE,0.681383332805914,4.43025018241162,NA,29.0342408118983,3
BY4741_Stressed_1784042160_C50_BY32___Stressed,Stressed,1.00110285211953,2274,475558.35,2,FALSE,FALSE,0.584918356692408,4.24863201720211,NA,29.05245391735,3
BY4741_Stressed_1784042160_C50_BY59___Stressed,Stressed,0.976015024139591,2276,463643.51,2,FALSE,FALSE,0.984461395132482,4.91707414901326,NA,29.1019009478553,3
BY4741_Stressed_1784042160_C50_BY58___Stressed,Stressed,1.04893981225078,2089,498306.44,2,FALSE,FALSE,0.355687770905198,3.86816015136649,NA,29.1108061754848,3
BY4741_Stressed_1784042160_C50_BY4___Stressed,Stressed,1.04308781008731,1823,495519.33,2,FALSE,FALSE,0.905613342542592,1.39187420559781,NA,29.1360601986717,3
BY4741_Stressed_1784042160_C50_BY16___Stressed,Stressed,0.968792643052229,2053,460218.14,2,FALSE,FALSE,0.996780792513431,3.97174654657972,NA,29.1503556234377,3
BY4741_Stressed_1784042160_C50_BY61___Stressed,Stressed,1.08957965173565,2294,517628.67,2,FALSE,FALSE,0.442762715376314,4.3665538722282,NA,29.1679074799425,3
BY4741_Stressed_1784042160_C50_BY37___Stressed,Stressed,1.07606110573069,2214,511191.83,2,FALSE,FALSE,0.887710368591646,1.91322339867721,NA,29.1778905393357,3
BY4741_Stressed_1784042160_C50_BY84___Stressed,Stressed,1.04070911856043,2135,494378.37,2,FALSE,FALSE,0.570289692947495,3.65331862477344,NA,29.2161672714861,3
BY4741_Stressed_1784042160_C50_BY33___Stressed,Stressed,1.05306778931645,1747,500261.57,2,FALSE,FALSE,0.910114827341827,2.70111101788117,NA,29.2942626297847,3
BY4741_Stressed_1784042160_C50_BY76___Stressed,Stressed,1.04035547238652,2252,494227.46,2,FALSE,FALSE,0.793138658670169,3.87251578197284,NA,29.4720688165004,3
BY4741_Stressed_1784042160_C50_BY21___Stressed,Stressed,1.04741787068092,1831,497608.82,2,FALSE,FALSE,1.06047694215521,3.56770057395102,NA,29.5520785744718,3
BY4741_Stressed_1784042160_C50_BY65___Stressed,Stressed,1.02201218215182,2388,485490.66,2,FALSE,FALSE,0.497070149892155,1.74451589583907,NA,29.5943068022438,3
BY4741_Stressed_1784042160_C50_BY12___Stressed,Stressed,0.799084580311596,1630,379593.66,2,FALSE,FALSE,0.78920649233694,3.08862865363269,NA,29.6165570767107,3
BY4741_Stressed_1784042160_C50_BY26___Stressed,Stressed,0.614051850034969,1196,291724.92,2,FALSE,FALSE,0.940274768448571,1.27422970184218,NA,29.6483621643333,3
